,PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,PROP_AGE
122,5352,2,1135,50,1,1,3,0,0,2,2,1,5,4,2,3,3,296102,148051,9253200,23
123,4605,4,939,74,1,1,3,0,0,1,1,1,2,4,3,3,3,214700,38646,4294000,38
124,4487,4,1586,59,2,2,4,3,1,0,2,0,5,3,3,4,3,586956,200424,14316000,28
125,6527,5,1973,63,2,1,5,2,1,0,0,0,5,2,2,4,3,885666,116535,23307000,35
126,6339,2,1023,44,1,1,3,4,1,1,0,2,5,3,2,3,3,282319,38941,9735150,17
127,3003,2,884,75,1,1,3,3,0,0,2,1,5,2,3,2,2,283410,45346,11336400,4
128,3485,1,1640,113,1,1,4,1,0,0,1,1,3,2,3,3,3,495645,194718,17701600,5
129,6269,0,622,60,1,1,2,3,0,2,1,1,4,2,4,3,3,216906,72302,6572900,20
130,4157,1,1880,90,2,1,5,4,1,1,2,1,5,3,4,4,3,483229,214768,13423020,16
131,3723,3,2413,166,4,2,6,0,0,2,2,2,5,2,2,2,2,419905,170587,13122040,9
132,5000,5,1649,169,1,1,4,1,0,0,0,0,3,2,2,4,3,681808,113635,18939100,25
133,5866,6,1729,144,2,1,4,4,1,0,2,2,0,3,4,4,3,396911,128036,12803570,41
135,276,2,711,116,1,1,2,1,1,2,2,1,4,2,3,2,2,249558,64402,8050270,12
136,483,2,885,122,1,1,3,2,0,1,1,1,5,4,2,2,3,237422,107919,7194600,32
137,4249,3,1688,148,2,1,4,0,1,1,2,0,5,2,2,4,3,547810,285318,11412700,15
138,6069,0,1236,108,2,2,4,2,0,0,1,0,0,3,3,4,4,481414,24071,12035355,37
139,2037,4,926,98,1,1,3,2,0,1,1,0,4,4,4,2,3,288834,68770,6877000,20
140,4844,3,1686,57,2,1,4,0,0,2,2,2,5,3,2,3,3,382817,196582,10346400,24
141,4067,4,1344,129,2,2,4,1,0,0,2,0,3,4,4,3,3,453999,259428,10809500,50
142,1025,3,1437,104,2,1,4,2,0,2,0,0,5,3,4,2,3,489629,102006,10200600,23
144,5266,0,1081,85,1,1,3,2,0,1,0,1,1,3,3,3,3,241416,6190,6190150,30
145,3850,4,1352,1,2,2,4,3,1,1,1,0,0,3,2,3,2,240768,123638,6507250,27
146,4781,3,1986,109,3,2,5,3,0,1,0,0,5,4,3,4,4,476717,227008,11350400,30
147,5190,1,1758,164,1,1,4,4,1,0,0,1,4,3,2,4,3,713565,231426,19285540,42
148,3048,4,607,121,1,1,2,3,0,2,2,0,4,4,4,2,3,175699,117133,5856625,46
149,5273,3,2139,136,3,2,5,3,1,2,2,2,4,2,4,2,2,424048,249440,12472000,21
150,3775,3,1488,97,2,1,4,4,0,2,0,2,3,2,5,4,3,405211,202606,8441900,27
151,6823,6,1645,96,2,1,4,4,0,1,2,1,3,3,4,2,3,250118,75793,7579320,26
152,4102,2,950,177,1,1,3,3,1,2,2,0,4,3,2,3,3,273252,146385,9759000,26
153,363,2,928,90,1,1,3,4,1,0,0,0,3,2,3,3,3,409985,62119,12423800,4
154,5160,6,1693,145,2,1,4,3,1,0,2,2,5,4,2,4,3,604335,108470,15495760,53
155,5989,6,1873,0,3,2,5,2,1,2,1,1,4,4,3,3,3,363735,198401,11022270,21
156,2864,0,721,145,1,1,2,4,0,2,2,2,4,3,2,4,3,273800,60844,7605550,10
157,1576,4,1190,37,1,1,3,2,1,1,2,0,3,4,4,3,4,342613,127484,7967750,29
158,2310,3,1593,9,2,1,4,4,0,2,0,2,3,3,3,4,3,402606,223670,8946800,17
159,3793,2,786,181,1,1,2,0,1,2,1,0,4,4,4,4,4,249610,83203,9244820,12
160,1481,2,1195,93,1,1,3,1,0,2,2,2,4,3,4,3,3,265183,29465,9821600,19
162,5769,3,1906,81,3,2,5,0,1,0,2,2,3,3,4,3,3,792637,206086,15852740,7
163,2994,0,656,20,1,1,2,0,0,0,0,2,2,4,2,2,2,280244,113849,8757635,9
164,6306,2,727,84,1,1,2,0,0,2,1,0,5,3,4,2,3,218816,100992,8415990,16
165,3343,0,931,37,1,1,3,2,1,2,1,2,5,2,3,4,3,367617,19871,9935595,33
166,6556,6,1898,108,3,2,5,1,1,0,1,1,5,3,2,4,3,581625,332357,16617860,38
167,6257,1,1698,15,1,1,4,2,0,1,2,0,5,5,4,3,4,359949,198593,12412050,40
168,6307,5,1926,193,2,1,5,1,1,0,2,1,5,4,4,3,3,633655,203675,22630540,17
169,2720,4,1481,144,2,2,4,4,1,0,0,2,0,3,4,2,3,485174,178227,9901500,38
170,6141,1,1506,122,1,1,4,2,0,1,1,1,5,3,3,2,3,417996,177648,10449910,33
171,116,2,1020,95,1,1,3,2,0,1,2,1,5,4,2,4,3,206664,31794,7948600,24
172,5277,2,889,196,1,1,3,0,0,2,1,0,5,5,2,2,3,300256,136480,9098680,21
173,1353,2,1015,147,1,1,3,2,1,1,0,2,3,3,4,2,3,275314,66743,8342850,35
174,2470,5,1682,78,1,1,4,0,0,0,0,0,3,3,3,3,3,690507,111974,18662350,35
175,626,2,869,39,1,1,3,2,0,2,2,1,5,4,4,3,4,220661,138935,8172630,18
176,1031,4,1445,20,2,2,4,2,0,1,2,1,2,4,2,2,3,216691,87848,5856500,24
177,231,1,1919,178,2,1,5,4,1,1,2,0,5,2,5,3,3,544054,117633,14704160,13
178,1978,0,1243,141,2,2,4,3,1,0,2,2,1,3,4,2,3,440895,26721,13360440,36
179,3059,4,857,158,1,1,2,3,0,1,1,2,2,3,2,3,3,236556,59139,4928250,17
180,3646,4,1055,174,1,1,3,1,1,2,2,0,2,3,2,4,3,226769,117042,7315125,48
181,1997,3,1778,94,3,2,5,2,0,2,2,0,4,3,3,4,3,340948,153976,10998320,8
182,2099,4,851,124,1,1,2,1,0,2,1,2,0,3,4,2,3,181073,39364,3936375,41
183,5813,2,1021,82,1,1,3,4,1,2,2,1,4,2,2,4,2,276053,147228,9201770,4
184,3061,3,2203,76,3,2,5,0,1,0,2,2,4,2,2,4,3,572520,339934,17891240,22
185,3414,4,613,81,1,1,2,2,0,0,2,1,2,4,4,2,3,195491,66879,5144500,30
187,2670,4,1489,177,2,2,4,1,0,1,1,0,3,4,3,4,3,384348,200181,8007250,29
188,4316,4,795,73,1,1,2,0,1,1,2,0,5,3,2,4,3,254378,127189,8479250,9
189,1220,6,1909,11,3,2,5,2,1,2,0,0,0,4,4,5,4,303875,212712,10129160,33
190,1672,2,1252,190,2,1,4,2,0,1,0,1,5,3,4,4,4,265502,47411,9482200,12
191,2284,4,1077,144,1,1,3,0,0,0,1,2,5,3,4,4,4,305249,246169,9846750,33
192,5733,3,1524,73,2,1,4,3,0,2,2,2,3,3,2,2,3,303654,208220,8675820,27
193,5601,2,1049,36,1,1,3,4,1,1,1,0,5,4,4,3,4,328398,133412,10262450,11
194,5761,6,1780,194,2,1,4,0,0,2,0,0,1,4,2,2,2,329500,130066,8671050,55
195,5286,2,946,14,1,1,3,1,0,0,1,1,4,3,3,4,3,368463,111656,11165550,17
196,5222,2,906,116,1,1,3,4,1,1,2,0,5,3,4,3,3,302874,28394,9464800,32
197,2793,3,2344,71,4,2,6,0,0,0,2,0,5,4,3,4,4,622046,471247,18849880,24
198,4516,0,929,76,1,1,3,1,1,2,2,2,3,2,2,2,2,341295,75843,9480425,15
199,4570,1,1843,158,2,1,5,1,0,1,1,1,4,3,3,3,3,318884,147177,12264750,15
200,4835,1,1918,187,2,1,5,4,1,0,0,0,4,3,2,2,2,809377,218751,21875050,35
201,5228,3,1507,54,2,1,4,3,1,0,0,2,3,3,4,3,3,636313,243694,13538580,19
202,2321,3,1499,89,2,1,4,2,0,1,0,0,3,2,3,4,3,372805,186403,8876320,6
203,1381,3,1526,64,2,1,4,3,1,0,0,2,3,4,3,4,4,518512,327481,13645040,22
204,5069,1,1855,82,2,1,5,0,1,0,2,2,3,3,2,4,3,839848,188966,20996200,10
205,2164,4,1627,39,2,2,4,3,1,2,1,2,3,4,4,2,3,308418,99782,9071125,30
206,4087,6,1846,28,3,2,5,0,0,1,0,0,5,3,3,2,3,378554,129790,10815830,39
207,2958,3,2019,65,3,2,5,0,1,2,2,2,5,3,3,3,3,601718,230445,12802500,16
209,5661,6,1780,115,2,1,4,2,1,0,2,1,1,2,4,2,3,453788,173507,13346700,25
210,2338,4,662,148,1,1,2,4,0,0,2,1,1,4,3,2,3,143765,65348,4356500,38
211,3991,2,1005,17,1,1,3,2,0,0,2,0,4,2,2,4,3,355456,183857,12257100,26
212,2988,4,839,102,1,1,2,4,0,1,2,2,1,4,4,2,3,192724,49206,4100500,20
213,5564,1,1698,76,1,1,4,4,0,1,0,1,5,4,4,4,4,403460,80692,11527430,34
214,5673,0,878,16,1,1,3,4,1,1,2,2,0,5,3,5,4,225847,6453,6452785,19
215,5548,2,835,77,1,1,3,4,1,1,1,2,5,3,4,3,3,227738,33739,8434750,37
216,2286,2,911,84,1,1,3,4,1,2,1,1,3,3,3,2,3,245118,37139,7427820,33
217,6695,6,1796,176,2,1,4,1,1,1,1,1,3,4,2,3,3,318687,118370,9105350,50
218,4268,4,1004,182,1,1,3,1,0,2,1,1,1,4,3,3,3,193582,75544,4721500,28
219,4070,1,1694,86,1,1,4,3,0,2,2,2,4,2,2,2,2,377250,213775,12575010,27
220,2082,4,1244,50,1,1,3,0,1,2,0,0,2,2,2,2,2,246535,143150,7952750,31
221,3796,4,588,163,1,1,2,4,0,2,0,2,4,4,4,3,4,228220,57055,5705500,24
222,2374,3,2342,69,4,2,6,1,1,1,2,2,4,4,3,2,3,567545,180582,12898740,7
223,6152,6,1835,88,3,2,5,3,0,2,0,2,4,4,2,2,2,418181,182284,10722580,29
224,5969,1,1977,84,2,1,5,4,1,1,0,0,4,4,4,3,4,423089,211544,14102960,43
225,2662,3,1961,104,3,2,5,0,1,0,2,0,5,2,2,3,2,792581,387484,17612900,15
226,7029,6,1517,82,2,1,4,3,1,1,2,1,0,3,3,3,3,257288,85763,7146890,12
227,4692,3,2409,103,4,2,6,4,1,2,2,0,4,4,4,2,3,606442,242577,13476480,25
228,6920,6,1864,187,3,2,5,4,0,0,1,0,3,3,4,2,3,528520,181207,15100560,23
229,5575,6,1643,52,2,1,4,2,1,0,0,2,5,4,3,2,3,577164,249584,15599020,31
230,1086,0,1015,76,1,1,3,2,1,0,2,1,1,4,2,2,2,370412,112246,11224620,8
231,4091,1,1700,135,1,1,4,3,1,2,2,1,3,4,2,2,3,424219,174679,12477040,32
232,3670,4,624,34,1,1,2,2,0,0,1,1,1,4,3,3,3,202228,92321,4396250,31
233,5683,2,980,84,1,1,3,3,0,0,2,2,4,3,3,4,3,380824,130908,11900750,17
234,3591,4,1003,196,1,1,3,0,1,0,2,0,3,2,4,4,3,373330,161440,10090000,20
235,4760,0,1072,66,1,1,3,2,1,1,2,1,0,2,2,2,2,264308,33038,6607690,6
236,3924,4,808,119,1,1,2,1,0,1,2,0,1,3,2,3,2,161577,90293,4752250,35
237,2621,2,1027,131,1,1,3,3,0,1,1,2,3,2,3,3,3,215799,44648,7441350,21
238,3826,4,696,84,1,1,2,3,0,1,2,0,4,3,2,3,3,212561,77295,6441250,11
239,3830,6,1716,86,2,1,4,2,1,1,1,2,4,2,3,2,2,414394,155398,10359860,8
240,2323,6,1878,18,3,2,5,2,0,0,0,2,1,5,2,4,3,573149,257917,14328720,6
241,1455,3,1699,98,2,1,4,3,1,2,2,0,4,4,2,2,3,457764,125885,11444100,16
242,1141,3,1626,188,2,1,4,0,0,1,0,2,5,2,3,2,3,348490,135524,9680280,24
243,5345,3,1730,200,2,1,4,3,0,0,2,0,4,2,3,3,3,589574,235830,14739360,18
244,6465,2,996,78,1,1,3,2,0,2,1,0,4,4,4,2,3,295007,151974,8939620,22
245,119,2,1277,111,2,1,4,1,1,0,0,1,5,4,3,3,3,518443,47131,15710400,16
246,629,2,906,64,1,1,3,3,0,0,2,2,3,3,2,2,2,327251,30680,10226600,32
247,1397,1,1976,112,2,1,5,4,0,1,2,2,4,5,2,2,3,369002,110700,12300050,39
249,2648,4,1402,112,2,2,4,3,0,1,2,0,2,3,3,5,4,257761,111464,6966500,30
250,5613,2,1160,138,1,1,3,1,1,2,0,1,3,4,3,2,3,255525,104103,9463900,30
251,6803,6,1957,134,3,2,5,3,1,0,1,1,2,4,3,3,3,547180,243191,15199450,25
252,1200,5,1887,48,2,1,5,1,0,0,2,1,4,2,2,3,2,573985,348491,20499450,20
253,5181,6,1859,142,3,2,5,3,1,1,1,2,3,4,4,4,4,297756,138953,9925210,48
254,6606,2,747,168,1,1,2,2,1,0,0,1,5,4,2,2,3,336707,157130,11223550,5
255,4864,0,985,159,1,1,3,4,1,1,2,2,1,3,2,2,2,265662,44277,7379505,7
256,811,2,1024,77,1,1,3,3,1,0,0,1,3,3,3,2,3,302285,108823,12091400,16
257,4062,6,1600,148,2,1,4,2,1,2,1,2,4,2,3,4,3,315906,94772,10530200,25
258,469,2,1276,141,2,1,4,3,0,2,2,2,4,3,2,3,3,316936,163270,9604120,36
259,3354,2,1159,90,1,1,3,2,1,1,1,0,3,4,3,2,3,253758,108754,9062800,36
260,1138,4,1024,142,1,1,3,0,1,1,2,1,1,3,3,4,3,166198,94970,4748500,50
262,2721,2,839,175,1,1,3,3,1,2,0,0,3,2,4,3,3,255008,72859,9107430,16
263,6181,2,1286,105,2,1,4,0,0,1,0,1,5,2,2,4,3,292906,118993,9153300,34
264,1705,3,2467,69,4,2,6,1,0,1,0,0,4,3,3,2,2,581942,139160,12650920,16
265,3360,4,653,121,1,1,2,1,0,0,1,1,5,2,3,5,3,297775,160340,7635250,15
266,3952,4,606,4,1,1,2,2,1,2,2,0,5,2,3,3,3,353430,117810,7854000,17
267,6459,5,1837,81,2,1,5,1,1,1,1,1,4,4,4,4,4,488298,105578,13197230,29
268,1663,6,1880,95,3,2,5,2,1,0,2,1,1,3,3,4,3,437429,109357,13669670,46
269,2375,3,2189,1,3,2,5,1,1,0,0,0,3,2,4,4,3,547496,456247,18249860,23
270,6377,6,1853,123,3,2,5,1,1,0,2,2,1,2,4,4,3,588293,279439,14707330,49
271,225,2,1057,200,1,1,3,3,0,2,0,2,4,4,3,2,3,228621,27435,9144840,17
272,6523,0,723,49,1,1,2,2,0,0,1,0,5,3,3,3,3,329098,142609,10969920,28
273,3958,5,1812,100,2,1,5,2,0,2,1,1,4,2,2,4,3,440951,232724,12248640,44
274,5558,5,1788,145,1,1,4,1,1,2,1,1,4,4,3,5,4,426755,156477,14225180,17
275,6963,6,1615,31,2,1,4,0,0,1,1,2,2,4,4,4,4,288694,128308,8019280,19
276,332,1,1755,85,1,1,4,1,0,1,2,1,4,3,4,2,3,308078,182565,11410310,43
277,5718,0,1296,25,2,2,4,2,0,1,0,1,5,3,4,4,4,338320,49753,9950600,20
278,3457,3,1554,18,2,1,4,0,1,1,2,2,4,2,2,3,3,479055,229547,9980320,6
279,152,1,1737,71,1,1,4,1,1,1,0,0,4,4,3,4,4,385905,214392,14292780,9
280,4431,4,785,116,1,1,2,2,1,2,0,1,2,4,2,3,3,207104,86293,5752875,12
281,2457,4,1678,70,2,2,4,4,1,0,2,0,1,3,2,4,3,475330,202015,11883250,35
282,2409,3,2360,171,4,2,6,3,1,0,2,2,5,2,3,4,3,693566,495405,19816180,9
283,3212,3,1464,2,2,1,4,2,1,2,2,2,3,4,4,3,3,394575,131525,9394640,28
285,6737,6,1755,103,2,1,4,0,1,2,1,1,1,2,3,4,3,332987,61340,8762820,26
286,4484,6,1556,105,2,1,4,4,0,2,2,2,4,4,2,4,3,289791,130873,9348100,20
287,1719,0,1170,120,1,1,3,1,0,1,2,0,3,3,3,4,3,337985,18269,9134740,36
